CALIBSTARS_0624394  352.422198   0.185501 0.0268 0.0268  16   0.127 16 18.193 18.197 0.006 0.035 1.166  16 18.134 18.139 0.005 0.019 1.006  16 18.458 18.461 0.004 0.014 0.971  15 18.732 18.734 0.005 0.009 0.528  14 18.987 18.989 0.014 0.037 0.700 
CALIBSTARS_0746375   15.842470  -0.346593 0.0401 0.0401  16   0.106 16 18.648 18.648 0.006 0.021 0.813  16 19.035 19.040 0.005 0.019 0.990  14 19.536 19.539 0.006 0.013 0.509  16 19.904 19.903 0.008 0.018 0.528  15 20.244 20.201 0.033 0.140 1.040 
CALIBSTARS_0978943   57.209176  -0.975754 0.2007 0.2007  31   0.513 31 13.376 13.374 0.003 0.019 1.079  25 13.816 13.818 0.001 0.008 0.430  29 14.279 14.272 0.002 0.013 1.003  30 14.649 14.648 0.003 0.007 0.483  30 15.002 15.003 0.003 0.013 0.734 
